标题,个人评分,打分日期,我的短评,上映日期,制片国家,条目链接
"木乃伊 / The Mummy","4","2019/02/18","","1999/04/16","葡萄牙","https://movie.douban.com/subject/1295229/"
"木乃伊归来 / The Mummy Returns","4","2019/02/18","","2001/05/04","美国","https://movie.douban.com/subject/1298586/"
"木乃伊3 / The Mummy: Tomb of the Dragon Emperor","3","2019/02/18","","2008/08/01","美国","https://movie.douban.com/subject/1997679/"
"龙骑士 / Eragon","3","2019/02/18","","2006/12/15","美国","https://movie.douban.com/subject/1433678/"
"地狱男爵 / Hellboy","3","2019/02/18","","2004/04/02","美国","https://movie.douban.com/subject/1308851/"
"范海辛 / Van Helsing","3","2019/02/18","","2004/05/03","美国","https://movie.douban.com/subject/1309136/"
"凡妮莎海辛 第一季 / Van Helsing Season 1","2","2019/02/18","","2016/09/23","美国","https://movie.douban.com/subject/26656815/"
"凡妮莎海辛 第二季 / Van Helsing Season 2","2","2019/02/18","","2017/10/05","美国","https://movie.douban.com/subject/26951742/"
"凡妮莎海辛 第三季 / Van Helsing Season 3","2","2019/02/18","","2018/10/05","美国","https://movie.douban.com/subject/27611035/"
"悲惨世界 / Les Misérables","4","2019/02/18","","2012/12/24","美国","https://movie.douban.com/subject/6860160/"
"勇敢传说 / Brave","3","2019/02/18","","2012/06/10","西雅图电影节","https://movie.douban.com/subject/3036473/"
"全民超人汉考克 / Hancock","2","2019/02/18","","2008/07/02","美国","https://movie.douban.com/subject/1949312/"
"刺客信条 / Assassin's Creed","1","2019/02/18","","2016/12/21","美国","https://movie.douban.com/subject/11526817/"
"蒂凡尼的早餐 / Breakfast at Tiffany's","4","2019/02/18","","1961/10/06","美国","https://movie.douban.com/subject/1325958/"
"霍元甲","3","2019/02/18","","2006/01/25","中国大陆","https://movie.douban.com/subject/1441602/"
"地心历险记 / Journey to the Center of the Earth","2","2019/02/18","","2008/07/11","美国","https://movie.douban.com/subject/2037833/"
"地心历险记2：神秘岛 / Journey 2: The Mysterious Island","2","2019/02/18","","2012/02/10","中国大陆","https://movie.douban.com/subject/3606973/"
"少数派报告 / Minority Report","3","2019/02/18","","2002/06/21","美国","https://movie.douban.com/subject/1297689/"
"游侠索罗：星球大战外传 / Solo: A Star Wars Story","3","2019/02/18","","2018/05/10","洛杉矶首映","https://movie.douban.com/subject/25900947/"
"潘神的迷宫 / El laberinto del fauno","3","2019/02/18","","2006/10/11","西班牙","https://movie.douban.com/subject/1767042/"
"BJ单身日记 / Bridget Jones's Diary","3","2019/02/18","","2001/04/04","英国","https://movie.douban.com/subject/1304585/"
"BJ单身日记2：理性边缘 / Bridget Jones: The Edge of Reason","3","2019/02/18","","2004/11/12","美国","https://movie.douban.com/subject/1308819/"
"单身日记：好孕来袭 / Bridget Jones's Baby","3","2019/02/18","","2016/09/16","美国","https://movie.douban.com/subject/3868141/"
"007：大战皇家赌场 / Casino Royale","3","2019/02/18","","2006/11/16","英国","https://movie.douban.com/subject/1418190/"
"007：幽灵党 / Spectre","3","2019/02/18","","2015/10/26","英国","https://movie.douban.com/subject/11620560/"
"007：大破天幕杀机 / Skyfall","3","2019/02/18","","2012/10/26","英国","https://movie.douban.com/subject/2363876/"
"007：大破量子危机 / Quantum of Solace","3","2019/02/18","","2008/10/31","英国","https://movie.douban.com/subject/1946882/"
"007之黄金眼 / GoldenEye","4","2019/02/18","","","","https://movie.douban.com/subject/1292677/"
"007之黑日危机 / The World Is Not Enough","4","2019/02/18","","1999/11/19","美国","https://movie.douban.com/subject/1293174/"
"007之择日而亡 / Die Another Day","3","2019/02/18","","","","https://movie.douban.com/subject/1303773/"
"007之明日帝国 / Tomorrow Never Dies","4","2019/02/18","","1997/12/09","伦敦首映","https://movie.douban.com/subject/1299247/"
"007之你死我活 / Live and Let Die","3","2019/02/18","","","","https://movie.douban.com/subject/1293438/"
"007之金手指 / Goldfinger","3","2019/02/18","","1964/09/17","伦敦首映","https://movie.douban.com/subject/1293828/"
"007之诺博士 / Dr. No","3","2019/02/18","","1962/10/05","英国","https://movie.douban.com/subject/1293072/"
"007之俄罗斯之恋 / From Russia with Love","3","2019/02/18","","","","https://movie.douban.com/subject/1293446/"
"007之八爪女 / Octopussy","3","2019/02/18","","","","https://movie.douban.com/subject/1300324/"
"007之黎明生机 / The Living Daylights","3","2019/02/18","","","","https://movie.douban.com/subject/1292573/"
"007之太空城 / Moonraker","3","2019/02/18","","","","https://movie.douban.com/subject/1294395/"
"007之杀人执照 / Licence to Kill","3","2019/02/18","","","","https://movie.douban.com/subject/1292754/"
"007之雷霆杀机 / A View to a Kill","3","2019/02/18","","","","https://movie.douban.com/subject/1292845/"
"007之雷霆谷 / You Only Live Twice","3","2019/02/18","","1967/06/13","英国","https://movie.douban.com/subject/1297050/"
"007之金枪人 / The Man with the Golden Gun","3","2019/02/18","","","","https://movie.douban.com/subject/1293605/"
"007之海底城 / The Spy Who Loved Me","3","2019/02/18","","","","https://movie.douban.com/subject/1292938/"
"007之女王密使 / On Her Majesty's Secret Service","3","2019/02/18","","","","https://movie.douban.com/subject/1293345/"
"007之最高机密 / For Your Eyes Only","3","2019/02/18","","","","https://movie.douban.com/subject/1293540/"
"007外传之巡弋飞弹 / Never Say Never Again","3","2019/02/18","","","","https://movie.douban.com/subject/1297063/"
"007之金刚钻 / Diamonds Are Forever","3","2019/02/18","","1971/12/14","美国","https://movie.douban.com/subject/1295560/"
"007之霹雳弹 / Thunderball","3","2019/02/18","","1965/12/29","英国","https://movie.douban.com/subject/1292638/"
"007别传之皇家夜总会 / Casino Royale","3","2019/02/18","","","","https://movie.douban.com/subject/1294814/"
"时间旅行者的妻子 / The Time Traveler's Wife","3","2019/02/18","","2009/08/14","美国","https://movie.douban.com/subject/1885124/"
"国家宝藏 / National Treasure","3","2019/02/18","","2004/11/19","美国","https://movie.douban.com/subject/1308848/"
"国家宝藏：夺宝秘笈 / National Treasure: Book of Secrets","3","2019/02/18","","2007/12/21","美国","https://movie.douban.com/subject/1607471/"
"回到未来 / Back to the Future","5","2019/02/18","","1985/07/03","美国","https://movie.douban.com/subject/1300555/"
"回到未来2 / Back to the Future Part II","5","2019/02/18","","1989/11/22","美国","https://movie.douban.com/subject/1299092/"
"回到未来3 / Back to the Future Part III","5","2019/02/18","","1990/05/25","美国","https://movie.douban.com/subject/1296666/"
"明日世界 / Tomorrowland","2","2019/02/18","","2015/05/22","美国","https://movie.douban.com/subject/6873042/"
"末路狂花 / Thelma & Louise","4","2019/02/18","","1991/05/24","美国","https://movie.douban.com/subject/1291992/"
"廊桥遗梦 / The Bridges of Madison County","5","2019/02/18","","1995/06/02","美国","https://movie.douban.com/subject/1293929/"
"雨果 / Hugo","4","2019/02/18","","2011/11/23","美国","https://movie.douban.com/subject/2028677/"
"战马 / War Horse","4","2019/02/18","","2011/12/25","美国","https://movie.douban.com/subject/4206436/"
"卡萨布兰卡 / Casablanca","4","2019/02/18","","1942/11/26","纽约首映","https://movie.douban.com/subject/1296753/"
"汉尼拔 / Hannibal","3","2019/02/18","","2001/02/09","美国","https://movie.douban.com/subject/1301746/"
"魔弦传说 / Kubo and the Two Strings","3","2019/02/18","","2016/08/19","美国","https://movie.douban.com/subject/26287884/"
"虫虫危机 / A Bug's Life","3","2019/02/18","","1998/11/25","美国","https://movie.douban.com/subject/1291573/"
"落水狗 / Reservoir Dogs","5","2019/02/18","","1992/01/21","圣丹斯电影节","https://movie.douban.com/subject/1299603/"
"五十度飞 / Fifty Shades Freed","3","2019/02/18","","2018/02/09","美国","https://movie.douban.com/subject/26323032/"
"五十度黑 / Fifty Shades Darker","3","2019/02/18","","2017/02/10","美国","https://movie.douban.com/subject/26323031/"
"五十度灰 / Fifty Shades of Grey","3","2019/02/18","","2015/02/09","洛杉矶首映","https://movie.douban.com/subject/24840488/"
"夏洛特的网 / Charlotte's Web","3","2019/02/18","","2006/12/15","美国","https://movie.douban.com/subject/1457218/"
"被嫌弃的松子的一生 / 嫌われ松子の一生","5","2019/02/18","","2006/05/27","日本","https://movie.douban.com/subject/1787291/"
"性爱自修室 第一季 / Sex Education Season 1","3","2019/02/18","","2019/01/11","美国","https://movie.douban.com/subject/27594217/"
"春&夏事件簿 / ハルチカ","2","2019/02/17","","2017/03/04","日本","https://movie.douban.com/subject/26751930/"
"有钱男与贫穷女 / リッチマン、プアウーマン","2","2019/02/17","","","","https://movie.douban.com/subject/10756863/"
"银魂2 / 銀魂2 掟は破るためにこそある","3","2019/02/17","","2018/08/17","日本","https://movie.douban.com/subject/27199577/"
"深夜的奇葩恋爱图鉴 / 深夜のダメ恋図鑑","3","2019/02/17","","2018/10/06","日本","https://movie.douban.com/subject/30259733/"
"东京女子图鉴 / 東京女子図鑑","4","2019/02/17","","2016/12/16","日本","https://movie.douban.com/subject/26921674/"
"阿丽塔：战斗天使 / Alita: Battle Angel","1","2019/02/17","傻逼电影 这叫个jb铳梦","2019/02/05","中国台湾","https://movie.douban.com/subject/1652592/"
"我是大哥大 / 今日から俺は！！","4","2019/02/16","","2018/10/14","日本","https://movie.douban.com/subject/30183785/"
"积木倒塌 / 積木くずし","5","2019/02/16","","","","https://movie.douban.com/subject/2222729/"
"女子的生活","4","2019/02/15","","2018/01/05","日本","https://movie.douban.com/subject/27192250/"
"anone / アノネ","3","2019/02/15","","2018/01/10","日本","https://movie.douban.com/subject/27197138/"
"海月姬","2","2019/02/15","","2018/01/15","日本","https://movie.douban.com/subject/27192249/"
"假面骑士创骑 / 仮面ライダービルド","4","2019/02/15","","2017/09/03","日本","https://movie.douban.com/subject/27073290/"
"交响情人梦 / のだめカンタービレ","4","2019/02/15","","2006/10/16","日本","https://movie.douban.com/subject/1997685/"
"交响情人梦 最终乐章 后篇 / のだめカンタービレ 最終楽章 後編","4","2019/02/15","","2010/04/17","日本","https://movie.douban.com/subject/3335464/"
"交响情人梦 最终乐章 前篇 / のだめカンタービレ 最終楽章 前編","4","2019/02/15","","2009/12/19","日本","https://movie.douban.com/subject/3335463/"
"非公认战队秋叶原连者 / 非公認戦隊アキバレンジャー","4","2019/02/15","","2012/04/06","日本","https://movie.douban.com/subject/10438917/"
"非公认战队秋叶原连者 Season痛（Two） / 非公認戦隊アキバレンジ...","4","2019/02/15","","2013/04/05","日本","https://movie.douban.com/subject/20514954/"
"剧场版 假面骑士创骑 合而为一 / 劇場版 仮面ライダービルド Be Th...","4","2019/02/15","","2018/08/04","日本","https://movie.douban.com/subject/30177684/"
"假面骑士EX-AID / 仮面ライダーエグゼイド","4","2019/02/15","","","","https://movie.douban.com/subject/26846696/"
"假面骑士艾克赛德 额外结局3 假面骑士幻梦对决假面骑士狂飙 / 仮面...","4","2019/02/15","","2018/04/25","日本","https://movie.douban.com/subject/27124864/"
"假面骑士Ex-Aid 秘技 假面骑士Para-Dx / てれびくん超バトルDVD 仮...","3","2019/02/15","","2017/11/01","日本","https://movie.douban.com/subject/27124526/"
"剧场版 假面骑士Ex-aid 真正的结局 / 劇場版 仮面ライダーエグゼイ...","4","2019/02/15","","2017/08/05","日本","https://movie.douban.com/subject/27115485/"
"假面骑士艾克赛得 额外结局2 假面骑士悖论&假面骑士波比 / 仮面ラ...","3","2019/02/15","","2018/04/11","日本","https://movie.douban.com/subject/27124863/"
"假面骑士艾克赛德 额外结局1 假面骑士勇者&假面骑士射手 / 仮面ラ...","3","2019/02/15","","2018/03/28","日本","https://movie.douban.com/subject/27124862/"
"假面骑士卌骑 / 仮面ライダーフォーゼ","4","2019/02/15","","","","https://movie.douban.com/subject/6536286/"
"假面骑士555 / 仮面ライダー555","5","2019/02/15","","","","https://movie.douban.com/subject/3291471/"
"假面骑士W / 仮面ライダーW","5","2019/02/15","","","","https://movie.douban.com/subject/3904603/"
"假面骑士电王 / 仮面ライダー電王","5","2019/02/15","","","","https://movie.douban.com/subject/2053600/"
"假面骑士龙骑 / 仮面ライダー龍騎","5","2019/02/15","","","","https://movie.douban.com/subject/2267069/"
"假面骑士帝骑 / 仮面ライダーディケイド","3","2019/02/15","","","","https://movie.douban.com/subject/3882163/"
"假面骑士Kabuto / 仮面ライダーカブト","3","2019/02/15","","2006/01/29","日本","https://movie.douban.com/subject/2129389/"
"假面骑士OOO / 仮面ライダーオーズ/OOO","3","2019/02/15","","","","https://movie.douban.com/subject/4899550/"
"假面骑士亚极陀 / 仮面ライダーアギト","5","2019/02/15","","","","https://movie.douban.com/subject/1998570/"
"假面骑士驰骑 / 仮面ライダードライブ","5","2019/02/15","","2014/10/05","日本","https://movie.douban.com/subject/25941723/"
"假面骑士铠武 / 仮面ライダー鎧武","3","2019/02/15","","2013/10/06","日本","https://movie.douban.com/subject/24748928/"
"假面骑士剑 / 仮面ライダー剣","4","2019/02/15","","","","https://movie.douban.com/subject/3574564/"
"假面骑士巫骑 / 仮面ライダーウィザード","2","2019/02/15","","2012/09/02","日本","https://movie.douban.com/subject/10810296/"
"假面骑士响鬼 / 仮面ライダー響鬼","3","2019/02/15","","","","https://movie.douban.com/subject/3041329/"
"假面骑士Ghost / 仮面ライダーゴースト","3","2019/02/15","","2015/10/04","日本","https://movie.douban.com/subject/26420830/"
"他是妹妹的恋人 / 彼は、妹の恋人","2","2019/02/15","","","","https://movie.douban.com/subject/10430277/"
"四重奏 / カルテット","4","2019/02/15","","2017/01/17","日本","https://movie.douban.com/subject/26895171/"
"海女 / あまちゃん","4","2019/02/15","","2013/04/01","日本","https://movie.douban.com/subject/10581289/"
"1公升的泪 / 1リットルの涙","4","2019/02/15","","2005/10/11","日本","https://movie.douban.com/subject/1436900/"
"一公升的眼泪 / 1リットルの涙","4","2019/02/15","","2005/02/05","日本","https://movie.douban.com/subject/1782964/"
"一公升的眼泪追忆篇 / １リットルの涙　特別編～追憶～","4","2019/02/15","","","","https://movie.douban.com/subject/3002065/"
"诈欺游戏 / ライアーゲーム","2","2019/02/15","","2007/04/14","日本","https://movie.douban.com/subject/2018076/"
"魔女的条件 / 魔女の条件","4","2019/02/15","","1999/04/08","日本","https://movie.douban.com/subject/1464837/"
"流浪地球","4","2019/02/14","","2019/02/05","中国大陆","https://movie.douban.com/subject/26266893/"
"校对女孩河野悦子 / 地味にスゴイ！ 校閲ガール・河野悦子","2","2019/02/13","","2016/10/05","日本","https://movie.douban.com/subject/26853460/"
"大话西游3","1","2019/02/13","","2016/09/14","中国大陆","https://movie.douban.com/subject/26284595/"
"美人鱼","3","2019/02/13","","2016/02/08","中国大陆","https://movie.douban.com/subject/19944106/"
"校对女孩河野悦子 2017特别篇 / 地味にスゴイ！DX 校閲ガール・...","2","2019/02/13","","2017/09/20","日本","https://movie.douban.com/subject/27045345/"
"东京爱情故事 / 東京ラブストーリー","5","2019/02/13","","1991/01/07","日本","https://movie.douban.com/subject/1438760/"
"流星之绊 / 流星の絆","3","2019/02/13","","2008/10/17","日本","https://movie.douban.com/subject/3268241/"
"排球女将 / 燃えろアタック","4","2019/02/13","","1979/01/05","日本","https://movie.douban.com/subject/2338146/"
"爱乐之城 / La La Land","4","2019/02/13","","2016/08/31","威尼斯电影节","https://movie.douban.com/subject/25934014/"
"穿普拉达的女王 / The Devil Wears Prada","3","2019/02/13","","2006/06/30","美国","https://movie.douban.com/subject/1482072/"
"真爱至上 / Love Actually","4","2019/02/13","","2003/09/07","多伦多电影节","https://movie.douban.com/subject/1292401/"
"万物理论 / The Theory of Everything","4","2019/02/13","","2014/09/07","多伦多电影节","https://movie.douban.com/subject/24815950/"
"卡罗尔 / Carol","4","2019/02/13","","2015/05/17","戛纳电影节","https://movie.douban.com/subject/10757577/"
"歌剧魅影 / The Phantom of the Opera","4","2019/02/13","","2004/12/10","英国","https://movie.douban.com/subject/1291554/"
"东京爱情故事特别篇 / 東京ラブストーリー 継続します！愛情のスト...","5","2019/02/13","","1993/02/12","日本","https://movie.douban.com/subject/6518713/"
"机器人总动员 / WALL·E","4","2019/02/13","","2008/06/27","美国","https://movie.douban.com/subject/2131459/"
"教父 / The Godfather","5","2019/02/13","","1972/03/15","纽约首映","https://movie.douban.com/subject/1291841/"
"教父2 / The Godfather: Part II","5","2019/02/13","","1974/12/12","纽约首映","https://movie.douban.com/subject/1299131/"
"教父3 / The Godfather: Part III","5","2019/02/13","","1990/12/25","美国","https://movie.douban.com/subject/1294240/"
"楚门的世界 / The Truman Show","5","2019/02/13","","1998/06/05","美国","https://movie.douban.com/subject/1292064/"
"疯狂动物城 / Zootopia","4","2019/02/13","","2016/03/04","中国大陆","https://movie.douban.com/subject/25662329/"
"大鱼 / Big Fish","4","2019/02/13","","2003/12/04","纽约首映","https://movie.douban.com/subject/1291545/"
"七武士 / 七人の侍","5","2019/02/13","","1954/04/26","日本","https://movie.douban.com/subject/1295399/"
"人工智能 / A.I. Artificial Intelligence","4","2019/02/13","","2001/06/29","美国","https://movie.douban.com/subject/1302827/"
"模仿游戏 / The Imitation Game","5","2019/02/13","","2014/08/29","特柳赖德电影节","https://movie.douban.com/subject/10463953/"
"曾经 / Once","4","2019/02/13","","2007/01/20","圣丹斯电影节","https://movie.douban.com/subject/2053515/"
"朝5晚9：帅气和尚爱上我 / 5→9 ～私に恋したお坊さん～","1","2019/02/13","说实话 尾随、监禁、言语 这男的已经算严重性骚扰了吧(2 有用)","2015/10/12","日本","https://movie.douban.com/subject/26588970/"
"请和这个没用的我谈恋爱 / ダメな私に恋してください","3","2019/02/13","","2016/01/12","日本","https://movie.douban.com/subject/26665269/"
"粉红色的火烈鸟 / Pink Flamingos","3","2019/02/12","","","","https://movie.douban.com/subject/1298230/"
"亲密姐妹 / ディア・シスター","3","2019/02/11","","2014/10/16","日本","https://movie.douban.com/subject/25975924/"
"查理和巧克力工厂 / Charlie and the Chocolate Factory","3","2019/02/10","","2005/07/15","美国","https://movie.douban.com/subject/1309101/"
"魔法师 第一季 / The Magicians Season 1","3","2019/02/08","","2016/01/26","美国","https://movie.douban.com/subject/26324698/"
"魔法师 第二季 / The Magicians Season 2","5","2019/02/08","","2017/01/25","美国","https://movie.douban.com/subject/26734206/"
"魔法师 第三季 / The Magicians Season 3","5","2019/02/08","","2018/01/10","美国","https://movie.douban.com/subject/27018361/"
"高岭之花 / 高嶺の花","1","2019/02/07","","2018/07/11","日本","https://movie.douban.com/subject/30232261/"
"新哥斯拉 / シン・ゴジラ","4","2019/02/07","","2016/07/29","日本","https://movie.douban.com/subject/26279124/"
"失恋巧克力职人 / 失恋ショコラティエ","2","2019/02/07","","2014/01/13","日本","https://movie.douban.com/subject/25760591/"
"辛德勒的名单 / Schindler's List","5","2019/02/07","","1993/11/30","华盛顿首映","https://movie.douban.com/subject/1295124/"
"十二怒汉 / 12 Angry Men","5","2019/02/07","","1957/04/10","美国","https://movie.douban.com/subject/1293182/"
"忠犬八公的故事 / Hachi: A Dog's Tale","4","2019/02/07","","2009/06/13","西雅图电影节","https://movie.douban.com/subject/3011091/"
"神奇动物在哪里 / Fantastic Beasts and Where to Find Them","4","2019/02/07","","2016/11/18","美国","https://movie.douban.com/subject/25726614/"
"神奇动物：格林德沃之罪 / Fantastic Beasts: The Crimes of Grind...","2","2019/02/07","","2018/11/16","中国大陆","https://movie.douban.com/subject/26147417/"
"银翼杀手 / Blade Runner","5","2019/02/06","","1982/06/25","美国","https://movie.douban.com/subject/1291839/"
"银翼杀手2049 / Blade Runner 2049","5","2019/02/06","","2017/10/06","美国","https://movie.douban.com/subject/10512661/"
"一天 / One Day","4","2019/02/06","","2011/08/19","美国","https://movie.douban.com/subject/4191644/"
"她 / Elle","4","2019/02/06","","2016/05/21","戛纳电影节","https://movie.douban.com/subject/26022182/"
"恋恋笔记本 / The Notebook","3","2019/02/06","","2004/06/25","美国","https://movie.douban.com/subject/1309163/"
"时空恋旅人 / About Time","4","2019/02/06","","2013/09/04","英国","https://movie.douban.com/subject/10577869/"
"珍珠港 / Pearl Harbor","4","2019/02/02","","2001/05/25","美国","https://movie.douban.com/subject/1302987/"
"发条橙 / A Clockwork Orange","5","2019/01/29","","1971/12/19","纽约首映","https://movie.douban.com/subject/1292233/"
"洛丽塔 / Lolita","4","2019/01/29","","1962/06/13","纽约首映","https://movie.douban.com/subject/1296992/"
"恐怖游轮 / Triangle","3","2019/01/29","","2009/10/16","英国","https://movie.douban.com/subject/3011051/"
"穆赫兰道 / Mulholland Dr.","4","2019/01/29","","2001/05/16","戛纳电影节","https://movie.douban.com/subject/1292217/"
"生化危机 / Resident Evil","3","2019/01/29","","2002/03/15","美国","https://movie.douban.com/subject/1306809/"
"生化危机2：启示录 / Resident Evil: Apocalypse","3","2019/01/29","","2004/09/10","加拿大","https://movie.douban.com/subject/1308752/"
"生化危机：终章 / Resident Evil: The Final Chapter","3","2019/01/29","","2016/12/23","日本","https://movie.douban.com/subject/20471852/"
"生化危机3：灭绝 / Resident Evil: Extinction","3","2019/01/29","","2007/09/21","美国","https://movie.douban.com/subject/1482911/"
"生化危机4：战神再生 / Resident Evil: Afterlife","3","2019/01/29","","2010/09/10","美国","https://movie.douban.com/subject/3041294/"
"生化危机5：惩罚 / Resident Evil: Retribution","3","2019/01/29","","2012/09/14","美国","https://movie.douban.com/subject/6532822/"
"寂静岭 / Silent Hill","3","2019/01/29","","2006/04/21","美国","https://movie.douban.com/subject/1466007/"
"寂静岭2 / Silent Hill: Revelation","3","2019/01/29","","2012/10/26","美国","https://movie.douban.com/subject/2117898/"
"影像之书 / Le livre d'image","4","2019/01/29","","2018/05/11","戛纳电影节","https://movie.douban.com/subject/26830774/"
"永远的莫扎特 / For Ever Mozart","4","2019/01/29","","","","https://movie.douban.com/subject/1419341/"
"电影史-1A 所有的历史 / Histoire(s) du cinéma: Toutes les hist...","4","2019/01/29","","1989/05/07","法国","https://movie.douban.com/subject/1439723/"
"电影史-1B 单独的历史 / Histoire(s) du cinéma: Une histoire seule","4","2019/01/29","","","","https://movie.douban.com/subject/1439727/"
"电影史-2A 单独的电影 / Histoire(s) du cinéma: Seul le cinéma","4","2019/01/29","","1999/07/22","法国","https://movie.douban.com/subject/1439726/"
"电影史-2B 致命的美 / Histoire(s) du cinéma: Fatale beauté","4","2019/01/29","","1999/07/29","法国","https://movie.douban.com/subject/1439724/"
"电影史-3A 绝对的货币 / Histoire(s) du cinéma: La monnaie de l...","4","2019/01/29","","1999/08/05","法国","https://movie.douban.com/subject/1439722/"
"电影史-3B 新浪潮 / Histoire(s) du cinéma: Une vague nouvelle","4","2019/01/29","","1999/08/12","法国","https://movie.douban.com/subject/1439720/"
"电影史-4A 控制宇宙 / Histoire(s) du cinéma: Le contrôle de...","4","2019/01/29","","1999/08/19","法国","https://movie.douban.com/subject/1439721/"
"电影史-4B 我们中的符号 / Histoire(s) du cinéma: Les signes pa...","4","2019/01/29","","1999/08/26","法国","https://movie.douban.com/subject/1439725/"
"万能钥匙 / The Skeleton Key","3","2019/01/29","","2005/07/29","英国","https://movie.douban.com/subject/1418752/"
"蝴蝶效应 / The Butterfly Effect","4","2019/01/26","","2004/01/23","美国","https://movie.douban.com/subject/1292343/"
"蝴蝶效应2 / The Butterfly Effect 2","3","2019/01/26","","2006/10/10","美国","https://movie.douban.com/subject/1578509/"
"蝴蝶效应3：启示 / The Butterfly Effect 3: Revelations","3","2019/01/26","","","","https://movie.douban.com/subject/3077413/"
"泰坦尼克号 / Titanic","5","2019/01/26","","1997/11/01","东京电影节","https://movie.douban.com/subject/1292722/"
"美丽人生 / La vita è bella","5","2019/01/26","","1997/12/20","意大利","https://movie.douban.com/subject/1292063/"
"海上钢琴师 / La leggenda del pianista sull'oceano","5","2019/01/26","","1998/10/28","意大利","https://movie.douban.com/subject/1292001/"
"放牛班的春天 / Les choristes","5","2019/01/26","","2004/03/17","法国","https://movie.douban.com/subject/1291549/"
"大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒","5","2019/01/26","","1995/01/21","中国香港","https://movie.douban.com/subject/1299398/"
"大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣","5","2019/01/26","","1995/02/04","中国香港","https://movie.douban.com/subject/1292213/"
"触不可及 / Intouchables","5","2019/01/26","","2011/11/02","法国","https://movie.douban.com/subject/6786002/"
"怦然心动 / Flipped","4","2019/01/26","","2010/07/26","好莱坞首映","https://movie.douban.com/subject/3319755/"
"乱世佳人 / Gone with the Wind","5","2019/01/26","","1939/12/15","美国","https://movie.douban.com/subject/1300267/"
"少年派的奇幻漂流 / Life of Pi","4","2019/01/26","","2012/09/28","纽约电影节","https://movie.douban.com/subject/1929463/"
"指环王1：护戒使者 / The Lord of the Rings: The Fellowship of t...","4","2019/01/26","","2001/12/19","美国","https://movie.douban.com/subject/1291571/"
"指环王2：双塔奇兵 / The Lord of the Rings: The Two Towers","4","2019/01/26","","2002/12/05","纽约首映","https://movie.douban.com/subject/1291572/"
"指环王3：王者无敌 / The Lord of the Rings: The Return of the King","4","2019/01/26","","2003/12/17","美国","https://movie.douban.com/subject/1291552/"
"霍比特人1：意外之旅 / The Hobbit: An Unexpected Journey","4","2019/01/26","","2012/11/28","新西兰首映","https://movie.douban.com/subject/1966182/"
"霍比特人3：五军之战 / The Hobbit: The Battle of the Five Armies","4","2019/01/26","","2014/12/17","美国","https://movie.douban.com/subject/2973079/"
"霍比特人2：史矛革之战 / The Hobbit: The Desolation of Smaug","4","2019/01/26","","2013/12/13","美国","https://movie.douban.com/subject/11606328/"
"哈利·波特与死亡圣器(下) / Harry Potter and the Deathly Hallow...","3","2019/01/26","","2011/07/15","美国","https://movie.douban.com/subject/3011235/"
"哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone","5","2019/01/26","","2001/11/04","英国首映","https://movie.douban.com/subject/1295038/"
"哈利·波特与阿兹卡班的囚徒 / Harry Potter and the Prisoner of ...","4","2019/01/26","","2004/05/31","英国","https://movie.douban.com/subject/1291544/"
"哈利·波特与死亡圣器(上) / Harry Potter and the Deathly Hallow...","3","2019/01/26","","2010/11/19","中国大陆","https://movie.douban.com/subject/2051007/"
"哈利·波特与密室 / Harry Potter and the Chamber of Secrets","4","2019/01/26","","2002/11/15","英国","https://movie.douban.com/subject/1296996/"
"哈利·波特与凤凰社 / Harry Potter and the Order of the Phoenix","4","2019/01/26","","2007/07/11","美国","https://movie.douban.com/subject/1457217/"
"哈利·波特与火焰杯 / Harry Potter and the Goblet of Fire","4","2019/01/26","","2005/11/06","英国","https://movie.douban.com/subject/1309055/"
"哈利·波特与混血王子 / Harry Potter and the Half-Blood Prince","3","2019/01/26","","2009/07/06","英国","https://movie.douban.com/subject/1433330/"
"死亡诗社 / Dead Poets Society","5","2019/01/26","","1989/06/02","多伦多首映","https://movie.douban.com/subject/1291548/"
"飞越疯人院 / One Flew Over the Cuckoo's Nest","5","2019/01/26","","1975/11/19","美国","https://movie.douban.com/subject/1292224/"
"V字仇杀队 / V for Vendetta","5","2019/01/26","","2005/12/11","BNAT电影节","https://movie.douban.com/subject/1309046/"
"海豚湾 / The Cove","3","2019/01/26","","2009/07/31","美国","https://movie.douban.com/subject/3442220/"
"美丽心灵 / A Beautiful Mind","5","2019/01/26","","2001/12/13","加州首映","https://movie.douban.com/subject/1306029/"
"情书 / Love Letter","5","2019/01/26","","1995/03/25","日本","https://movie.douban.com/subject/1292220/"
"看不见的客人 / Contratiempo","3","2019/01/26","","2016/09/23","奇幻电影节","https://movie.douban.com/subject/26580232/"
"拯救大兵瑞恩 / Saving Private Ryan","4","2019/01/26","","1998/07/24","美国","https://movie.douban.com/subject/1292849/"
"音乐之声 / The Sound of Music","5","2019/01/26","","1965/03/02","美国","https://movie.douban.com/subject/1294408/"
"天使爱美丽 / Le Fabuleux destin d'Amélie Poulain","5","2019/01/26","","2001/04/25","法国","https://movie.douban.com/subject/1292215/"
"低俗小说 / Pulp Fiction","5","2019/01/26","","1994/05/12","戛纳电影节","https://movie.douban.com/subject/1291832/"
